nev	style
Goodwin, Albert	Painting, Oil, Watercolor, Landscape, UK, 19th Century
Gordin, Misha	Photography, Concept Art, B&W, Latvia
Gores, Derek	Collage, USA
Gottardo, Alessandro (Shout)	Illustration, Flat Style, Italy
Grandville, J.J.	Illustration, Painting, Lithography, France, 19th Century
Grant, Duncan	Painting, Oil, Portrait, Scotland, UK
Grasset, Eugène	Illustration, Lithography, Art Nouveau, Switzerland, 19th Century
Greasley, Laurie	Illustration, Concept Art, Scotland, UK
Greenaway, Kate	Illustration, Watercolor, Children's Book, UK, 19th Century
Grelle, Martin	Painting, USA
Grey, Alex	Painting, Oil, Psychedelic Art, USA
Gric, Peter	Illustration, Painting, Horror, Czech Republic
Griffiths, Carne	Painting, Ink, Portrait, UK
Grimly, Gris	Author, Illustration, Children's Book, USA
Grimmer, Jordan	Concept Art, Game Art, UK
Grimshaw, John Atkinson	Painting, Oil, Cityscape, UK, 19th Century
Gross, Alex	Painting, Oil, Portrait, USA
Guangjian, Huang	Illustration, Concept Art, Game Art, China
Guay, Rebecca	Illustration, Fantasy, MTG, USA
Guay, Sam	Painting, Watercolor, Fantasy, MTG, USA
Guillaumin, Armand	Painting, Oil,Portrait, Landscape, Still Life, Impressionism, France, 19th Century
Guillemin, Grégoire	Illustration, Painting, Pop-Art, France
Gutekunst, Saskia	Illustration, Concept Art, Germany
Guweiz (Zheng Wei Gu)	Illustration, Portrait, Singapore
Hacker, Arthur	Painting, Oil, Portrait, UK, 19th Century
Haeckel, Ernst	Illustration, Germany, 19th Century
Hamilton, Richard	Painting, Oil, Acrylic, Collage, Pop-Art, UK
Hanson, Erin	Painting, Landscape, Oil, USA
Hanuka, Tomer	Illustration, Israel
Hardy, David A.	Illustration, Painting, Sci-Fi, Cover Art, Landscape, UK
Haring, Keith	Illustration, Painting, Pop-Art, USA
Harper, Charley	Illustration, Flat Style, USA
Harrington, Conor	Painting, Oil, Grafitti, Portrait, Ireland
Harris, John	Illustration, Painting, Sci-Fi, Cover Art, UK
Harris, Lawren	Painting, Landscape, Oil, Canada
Hartley, Marsden	Painting, Oil, Still Life, Landscape, Moderism, USA
Hartung, Hans	Painting, Informel, Tachisme, Abstract, B&W, Germany, France
Hasui, Kawase	Illustration, Woodcut, Japan
Hattori, Naoto	Painting, Fantasy, Japan
Heem, Cornelis de	Painting, Oil, Still Life, Botanical, 17th Century, Netherlands
Heighton, Brent	Illustration, Painting, Oil, Watercolor, Cityscape, Canada
Herrero, Lowell	Painting, Oil, Naive Art, USA
Hess, F. Scott	Painting, Oil, Portrait, Realism, USA
Hickman, Stephen	Illustration, Fantasy, Sci-Fi, Cover Art, USA
Hiroshige, Utagawa	Illustration, Woodcut, Japan, 19th Century
Hitch, Bryan	Comic, DC Comics, Marvel, UK
Hodas, Filip	3D, Landscape, Czech Republic
Hodler, Ferdinand	Painting, Oil, Art Nouveau, Symbolism, Switzerland, 19th Century
